127.0.0.1 - - [21/Jun/2019:14:42:38 +0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Jun/2019:14:42:39 +0800] "GET /Server/servlet/Loginservlet HTTP/1.1" 200 60
172.31.84.78 - - [21/Jun/2019:14:43:06 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:14:43:07 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:16:06:22 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:16:06:24 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:16:06:44 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:16:06:45 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:16:07:56 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:16:07:57 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:16:22:20 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:16:22:21 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:16:23:05 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:16:23:06 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:16:24:02 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:16:24:03 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:16:25:41 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
172.31.84.78 - - [21/Jun/2019:16:25:43 +0800] "GET /Server/servlet/ExamServlet HTTP/1.1" 200 583
172.31.84.78 - - [21/Jun/2019:16:28:51 +0800] "GET /Server/servlet/Loginservlet?password=123&username=qw HTTP/1.1" 200 33
